城市,year,month,YYYY_MM,PM2.5
上海,2013,10,2013-10,36.75
上海,2013,11,2013-11,79.2
上海,2013,12,2013-12,129.0
上海,2014,1,2014-01,77.06666666666666
上海,2014,2,2014-02,51.57142857142857
上海,2014,3,2014-03,56.8
上海,2014,4,2014-04,52.333333333333336
上海,2014,5,2014-05,62.96774193548387
上海,2014,6,2014-06,43.46666666666667
上海,2014,7,2014-07,44.41935483870968
上海,2014,8,2014-08,37.96551724137931
上海,2014,9,2014-09,34.733333333333334
上海,2014,10,2014-10,39.516129032258064
上海,2014,11,2014-11,51.93333333333333
上海,2014,12,2014-12,70.3103448275862
上海,2015,1,2015-01,82.45161290322581
上海,2015,2,2015-02,63.32142857142857
上海,2015,3,2015-03,53.483870967741936
上海,2015,4,2015-04,55.36666666666667
上海,2015,5,2015-05,43.03225806451613
上海,2015,6,2015-06,42.8
上海,2015,7,2015-07,38.774193548387096
上海,2015,8,2015-08,39.806451612903224
上海,2015,9,2015-09,33.766666666666666
上海,2015,10,2015-10,47.38709677419355
上海,2015,11,2015-11,57.733333333333334
上海,2015,12,2015-12,82.54838709677419
上海,2016,1,2016-01,69.54838709677419
上海,2016,2,2016-02,54.10344827586207
上海,2016,3,2016-03,52.16129032258065
上海,2016,4,2016-04,55.06666666666667
上海,2016,5,2016-05,49.774193548387096
上海,2016,6,2016-06,39.4
上海,2016,7,2016-07,38.193548387096776
上海,2016,8,2016-08,18.70967741935484
上海,2016,9,2016-09,32.53333333333333
上海,2016,10,2016-10,22.096774193548388
上海,2016,11,2016-11,43.43333333333333
上海,2016,12,2016-12,57.67741935483871
上海,2017,1,2017-01,44.74193548387097
上海,2017,2,2017-02,49.82142857142857
上海,2017,3,2017-03,44.03225806451613
上海,2017,4,2017-04,43.833333333333336
上海,2017,5,2017-05,31.193548387096776
上海,2017,6,2017-06,37.733333333333334
上海,2017,7,2017-07,32.516129032258064
上海,2017,8,2017-08,30.258064516129032
上海,2017,9,2017-09,25.4
上海,2017,10,2017-10,24.133333333333333
上海,2017,11,2017-11,41.36666666666667
上海,2017,12,2017-12,54.25806451612903
上海,2018,1,2018-01,57.193548387096776
上海,2018,2,2018-02,44.892857142857146
上海,2018,3,2018-03,40.45161290322581
上海,2018,4,2018-04,41.766666666666666
上海,2018,5,2018-05,43.87096774193548
上海,2018,6,2018-06,34.6
上海,2018,7,2018-07,21.129032258064516
上海,2018,8,2018-08,16.296296296296298
上海,2018,9,2018-09,22.620689655172413
上海,2018,10,2018-10,24.967741935483872
上海,2018,11,2018-11,40.1
上海,2018,12,2018-12,38.04
上海,2019,1,2019-01,48.70967741935484
上海,2019,2,2019-02,40.785714285714285
上海,2019,3,2019-03,50.12903225806452
上海,2019,4,2019-04,39.233333333333334
上海,2019,5,2019-05,32.096774193548384
上海,2019,6,2019-06,28.652173913043477
上海,2019,7,2019-07,25.636363636363637
上海,2019,8,2019-08,18.714285714285715
上海,2019,9,2019-09,20.833333333333332
上海,2019,10,2019-10,30.483870967741936
上海,2019,11,2019-11,26.9
上海,2019,12,2019-12,49.064516129032256
上海,2020,1,2020-01,52.96774193548387
上海,2020,2,2020-02,32.310344827586206
上海,2020,3,2020-03,26.129032258064516
上海,2020,4,2020-04,32.733333333333334
上海,2020,5,2020-05,38.483870967741936
上海,2020,6,2020-06,29.1
上海,2020,7,2020-07,26.903225806451612
上海,2020,8,2020-08,19.225806451612904
上海,2020,9,2020-09,24.566666666666666
上海,2020,10,2020-10,18.870967741935484
上海,2020,11,2020-11,25.766666666666666
上海,2020,12,2020-12,46.58064516129032
上海,2021,1,2021-01,37.58064516129032
上海,2021,2,2021-02,28.5
上海,2021,3,2021-03,35.96774193548387
上海,2021,4,2021-04,30.233333333333334
上海,2021,5,2021-05,29.161290322580644
上海,2021,6,2021-06,22.133333333333333
上海,2021,7,2021-07,16.29032258064516
上海,2021,8,2021-08,16.35483870967742
上海,2021,9,2021-09,18.066666666666666
上海,2021,10,2021-10,16.129032258064516
上海,2021,11,2021-11,31.0
上海,2021,12,2021-12,42.54838709677419
上海,2022,1,2022-01,41.32258064516129
上海,2022,2,2022-02,29.107142857142858
上海,2022,3,2022-03,29.06451612903226
北京,2013,10,2013-10,125.0
北京,2013,11,2013-11,71.6
北京,2013,12,2013-12,72.7741935483871
北京,2014,1,2014-01,90.56666666666666
北京,2014,2,2014-02,147.57142857142858
北京,2014,3,2014-03,89.03333333333333
北京,2014,4,2014-04,88.03333333333333
北京,2014,5,2014-05,60.67741935483871
北京,2014,6,2014-06,53.96666666666667
北京,2014,7,2014-07,88.54838709677419
北京,2014,8,2014-08,62.206896551724135
北京,2014,9,2014-09,64.56666666666666
北京,2014,10,2014-10,117.90322580645162
北京,2014,11,2014-11,86.03333333333333
北京,2014,12,2014-12,57.064516129032256
北京,2015,1,2015-01,95.93548387096774
北京,2015,2,2015-02,92.39285714285714
北京,2015,3,2015-03,85.7741935483871
北京,2015,4,2015-04,70.36666666666666
北京,2015,5,2015-05,55.193548387096776
北京,2015,6,2015-06,59.7
北京,2015,7,2015-07,59.83870967741935
北京,2015,8,2015-08,43.354838709677416
北京,2015,9,2015-09,47.7
北京,2015,10,2015-10,70.90322580645162
北京,2015,11,2015-11,114.46666666666667
北京,2015,12,2015-12,147.5483870967742
北京,2016,1,2016-01,65.80645161290323
北京,2016,2,2016-02,41.93103448275862
北京,2016,3,2016-03,90.70967741935483
北京,2016,4,2016-04,65.93333333333334
北京,2016,5,2016-05,53.096774193548384
北京,2016,6,2016-06,57.233333333333334
北京,2016,7,2016-07,67.38709677419355
北京,2016,8,2016-08,44.96774193548387
北京,2016,9,2016-09,53.166666666666664
北京,2016,10,2016-10,83.19354838709677
北京,2016,11,2016-11,96.4
北京,2016,12,2016-12,128.2258064516129
北京,2017,1,2017-01,110.54838709677419
北京,2017,2,2017-02,67.71428571428571
北京,2017,3,2017-03,61.225806451612904
北京,2017,4,2017-04,51.766666666666666
北京,2017,5,2017-05,57.806451612903224
北京,2017,6,2017-06,41.233333333333334
北京,2017,7,2017-07,50.96774193548387
北京,2017,8,2017-08,36.38709677419355
北京,2017,9,2017-09,54.56666666666667
北京,2017,10,2017-10,56.4
北京,2017,11,2017-11,44.06666666666667
北京,2017,12,2017-12,42.25806451612903
北京,2018,1,2018-01,32.67741935483871
北京,2018,2,2018-02,48.107142857142854
北京,2018,3,2018-03,88.48387096774194
北京,2018,4,2018-04,62.56666666666667
北京,2018,5,2018-05,54.54838709677419
北京,2018,6,2018-06,46.03333333333333
北京,2018,7,2018-07,47.903225806451616
北京,2018,8,2018-08,32.77777777777778
北京,2018,9,2018-09,25.551724137931036
北京,2018,10,2018-10,39.67741935483871
北京,2018,11,2018-11,69.23333333333333
北京,2018,12,2018-12,42.56
北京,2019,1,2019-01,49.774193548387096
北京,2019,2,2019-02,50.67857142857143
北京,2019,3,2019-03,50.806451612903224
北京,2019,4,2019-04,47.03333333333333
北京,2019,5,2019-05,36.193548387096776
北京,2019,6,2019-06,38.391304347826086
北京,2019,7,2019-07,36.04545454545455
北京,2019,8,2019-08,26.142857142857142
北京,2019,9,2019-09,35.166666666666664
北京,2019,10,2019-10,39.29032258064516
北京,2019,11,2019-11,43.7
北京,2019,12,2019-12,44.096774193548384
北京,2020,1,2020-01,58.32258064516129
北京,2020,2,2020-02,61.55172413793103
北京,2020,3,2020-03,34.096774193548384
北京,2020,4,2020-04,30.033333333333335
北京,2020,5,2020-05,35.45161290322581
北京,2020,6,2020-06,31.833333333333332
北京,2020,7,2020-07,40.32258064516129
北京,2020,8,2020-08,28.0
北京,2020,9,2020-09,23.233333333333334
北京,2020,10,2020-10,41.03225806451613
北京,2020,11,2020-11,36.5
北京,2020,12,2020-12,27.580645161290324
北京,2021,1,2021-01,39.16129032258065
北京,2021,2,2021-02,61.785714285714285
北京,2021,3,2021-03,82.48387096774194
北京,2021,4,2021-04,33.4
北京,2021,5,2021-05,25.580645161290324
北京,2021,6,2021-06,18.033333333333335
北京,2021,7,2021-07,15.451612903225806
北京,2021,8,2021-08,18.0
北京,2021,9,2021-09,17.733333333333334
北京,2021,10,2021-10,24.870967741935484
北京,2021,11,2021-11,43.56666666666667
北京,2021,12,2021-12,26.612903225806452
北京,2022,1,2022-01,44.354838709677416
北京,2022,2,2022-02,21.714285714285715
北京,2022,3,2022-03,40.193548387096776
广州,2013,10,2013-10,88.75
广州,2013,11,2013-11,53.36666666666667
广州,2013,12,2013-12,80.3225806451613
广州,2014,1,2014-01,89.66666666666667
广州,2014,2,2014-02,45.92857142857143
广州,2014,3,2014-03,54.733333333333334
广州,2014,4,2014-04,47.43333333333333
广州,2014,5,2014-05,31.967741935483872
广州,2014,6,2014-06,33.53333333333333
广州,2014,7,2014-07,34.12903225806452
广州,2014,8,2014-08,30.586206896551722
广州,2014,9,2014-09,35.3
广州,2014,10,2014-10,58.064516129032256
广州,2014,11,2014-11,49.1
广州,2014,12,2014-12,55.96774193548387
广州,2015,1,2015-01,59.32258064516129
广州,2015,2,2015-02,54.392857142857146
广州,2015,3,2015-03,32.74193548387097
广州,2015,4,2015-04,37.7
广州,2015,5,2015-05,26.06451612903226
广州,2015,6,2015-06,20.066666666666666
广州,2015,7,2015-07,26.903225806451612
广州,2015,8,2015-08,36.903225806451616
广州,2015,9,2015-09,39.833333333333336
广州,2015,10,2015-10,42.74193548387097
广州,2015,11,2015-11,36.3
广州,2015,12,2015-12,40.25806451612903
广州,2016,1,2016-01,33.38709677419355
广州,2016,2,2016-02,34.724137931034484
广州,2016,3,2016-03,45.32258064516129
广州,2016,4,2016-04,35.93333333333333
广州,2016,5,2016-05,28.451612903225808
广州,2016,6,2016-06,21.7
广州,2016,7,2016-07,24.612903225806452
广州,2016,8,2016-08,34.29032258064516
广州,2016,9,2016-09,33.4
广州,2016,10,2016-10,28.483870967741936
广州,2016,11,2016-11,38.7
广州,2016,12,2016-12,49.03225806451613
广州,2017,1,2017-01,51.96774193548387
广州,2017,2,2017-02,42.25
广州,2017,3,2017-03,39.38709677419355
广州,2017,4,2017-04,33.13333333333333
广州,2017,5,2017-05,32.516129032258064
广州,2017,6,2017-06,17.4
广州,2017,7,2017-07,19.677419354838708
广州,2017,8,2017-08,21.612903225806452
广州,2017,9,2017-09,33.166666666666664
广州,2017,10,2017-10,30.633333333333333
广州,2017,11,2017-11,37.46666666666667
广州,2017,12,2017-12,49.645161290322584
广州,2018,1,2018-01,59.70967741935484
广州,2018,2,2018-02,42.82142857142857
广州,2018,3,2018-03,41.483870967741936
广州,2018,4,2018-04,39.03333333333333
广州,2018,5,2018-05,23.29032258064516
广州,2018,6,2018-06,21.233333333333334
广州,2018,7,2018-07,18.548387096774192
广州,2018,8,2018-08,24.962962962962962
广州,2018,9,2018-09,26.655172413793103
广州,2018,10,2018-10,33.516129032258064
广州,2018,11,2018-11,37.3
广州,2018,12,2018-12,30.92
广州,2019,1,2019-01,45.67741935483871
广州,2019,2,2019-02,24.142857142857142
广州,2019,3,2019-03,27.225806451612904
广州,2019,4,2019-04,22.333333333333332
广州,2019,5,2019-05,19.451612903225808
广州,2019,6,2019-06,15.08695652173913
广州,2019,7,2019-07,19.272727272727273
广州,2019,8,2019-08,27.785714285714285
广州,2019,9,2019-09,29.166666666666668
广州,2019,10,2019-10,38.354838709677416
广州,2019,11,2019-11,42.733333333333334
广州,2019,12,2019-12,42.12903225806452
广州,2020,1,2020-01,28.451612903225808
广州,2020,2,2020-02,23.24137931034483
广州,2020,3,2020-03,20.548387096774192
广州,2020,4,2020-04,26.1
广州,2020,5,2020-05,17.806451612903224
广州,2020,6,2020-06,11.133333333333333
广州,2020,7,2020-07,11.161290322580646
广州,2020,8,2020-08,17.096774193548388
广州,2020,9,2020-09,20.566666666666666
广州,2020,10,2020-10,26.967741935483872
广州,2020,11,2020-11,31.366666666666667
广州,2020,12,2020-12,34.903225806451616
广州,2021,1,2021-01,44.67741935483871
广州,2021,2,2021-02,27.821428571428573
广州,2021,3,2021-03,28.322580645161292
广州,2021,4,2021-04,24.566666666666666
广州,2021,5,2021-05,15.935483870967742
广州,2021,6,2021-06,14.433333333333334
广州,2021,7,2021-07,15.741935483870968
广州,2021,8,2021-08,14.870967741935484
广州,2021,9,2021-09,21.366666666666667
广州,2021,10,2021-10,19.967741935483872
广州,2021,11,2021-11,24.8
广州,2021,12,2021-12,30.161290322580644
广州,2022,1,2022-01,30.967741935483872
广州,2022,2,2022-02,15.285714285714286
广州,2022,3,2022-03,23.225806451612904
深圳,2013,10,2013-10,44.25
深圳,2013,11,2013-11,44.3
深圳,2013,12,2013-12,75.41935483870968
深圳,2014,1,2014-01,59.166666666666664
深圳,2014,2,2014-02,30.285714285714285
深圳,2014,3,2014-03,36.333333333333336
深圳,2014,4,2014-04,31.133333333333333
深圳,2014,5,2014-05,16.096774193548388
深圳,2014,6,2014-06,19.166666666666668
深圳,2014,7,2014-07,19.387096774193548
深圳,2014,8,2014-08,14.379310344827585
深圳,2014,9,2014-09,25.5
深圳,2014,10,2014-10,44.67741935483871
深圳,2014,11,2014-11,42.56666666666667
深圳,2014,12,2014-12,49.54838709677419
深圳,2015,1,2015-01,48.806451612903224
深圳,2015,2,2015-02,46.892857142857146
深圳,2015,3,2015-03,30.70967741935484
深圳,2015,4,2015-04,26.533333333333335
深圳,2015,5,2015-05,15.483870967741936
深圳,2015,6,2015-06,10.566666666666666
深圳,2015,7,2015-07,18.322580645161292
深圳,2015,8,2015-08,23.387096774193548
深圳,2015,9,2015-09,28.3
深圳,2015,10,2015-10,36.806451612903224
深圳,2015,11,2015-11,30.7
深圳,2015,12,2015-12,30.419354838709676
深圳,2016,1,2016-01,28.903225806451612
深圳,2016,2,2016-02,29.379310344827587
深圳,2016,3,2016-03,33.87096774193548
深圳,2016,4,2016-04,24.766666666666666
深圳,2016,5,2016-05,21.451612903225808
深圳,2016,6,2016-06,11.966666666666667
深圳,2016,7,2016-07,16.225806451612904
深圳,2016,8,2016-08,23.032258064516128
深圳,2016,9,2016-09,26.0
深圳,2016,10,2016-10,23.70967741935484
深圳,2016,11,2016-11,29.566666666666666
深圳,2016,12,2016-12,43.61290322580645
深圳,2017,1,2017-01,36.87096774193548
深圳,2017,2,2017-02,30.785714285714285
深圳,2017,3,2017-03,29.806451612903224
深圳,2017,4,2017-04,26.166666666666668
深圳,2017,5,2017-05,26.096774193548388
深圳,2017,6,2017-06,11.366666666666667
深圳,2017,7,2017-07,12.870967741935484
深圳,2017,8,2017-08,16.612903225806452
深圳,2017,9,2017-09,24.233333333333334
深圳,2017,10,2017-10,29.533333333333335
深圳,2017,11,2017-11,35.96666666666667
深圳,2017,12,2017-12,45.645161290322584
深圳,2018,1,2018-01,38.61290322580645
深圳,2018,2,2018-02,34.607142857142854
深圳,2018,3,2018-03,27.387096774193548
深圳,2018,4,2018-04,28.133333333333333
深圳,2018,5,2018-05,16.903225806451612
深圳,2018,6,2018-06,19.466666666666665
深圳,2018,7,2018-07,18.774193548387096
深圳,2018,8,2018-08,23.962962962962962
深圳,2018,9,2018-09,25.551724137931036
深圳,2018,10,2018-10,31.096774193548388
深圳,2018,11,2018-11,30.066666666666666
深圳,2018,12,2018-12,28.44
深圳,2019,1,2019-01,37.74193548387097
深圳,2019,2,2019-02,22.857142857142858
深圳,2019,3,2019-03,25.258064516129032
深圳,2019,4,2019-04,23.3
深圳,2019,5,2019-05,20.29032258064516
深圳,2019,6,2019-06,13.869565217391305
深圳,2019,7,2019-07,16.636363636363637
深圳,2019,8,2019-08,23.714285714285715
深圳,2019,9,2019-09,23.866666666666667
深圳,2019,10,2019-10,32.67741935483871
深圳,2019,11,2019-11,36.233333333333334
深圳,2019,12,2019-12,37.45161290322581
深圳,2020,1,2020-01,26.741935483870968
深圳,2020,2,2020-02,18.310344827586206
深圳,2020,3,2020-03,20.419354838709676
深圳,2020,4,2020-04,22.2
深圳,2020,5,2020-05,13.03225806451613
深圳,2020,6,2020-06,6.533333333333333
深圳,2020,7,2020-07,6.774193548387097
深圳,2020,8,2020-08,12.064516129032258
深圳,2020,9,2020-09,15.833333333333334
深圳,2020,10,2020-10,23.483870967741936
深圳,2020,11,2020-11,26.5
深圳,2020,12,2020-12,33.516129032258064
深圳,2021,1,2021-01,35.16129032258065
深圳,2021,2,2021-02,19.071428571428573
深圳,2021,3,2021-03,18.774193548387096
深圳,2021,4,2021-04,18.233333333333334
深圳,2021,5,2021-05,9.419354838709678
深圳,2021,6,2021-06,9.833333333333334
深圳,2021,7,2021-07,9.806451612903226
深圳,2021,8,2021-08,10.096774193548388
深圳,2021,9,2021-09,14.866666666666667
深圳,2021,10,2021-10,16.06451612903226
深圳,2021,11,2021-11,22.966666666666665
深圳,2021,12,2021-12,26.806451612903224
深圳,2022,1,2022-01,25.096774193548388
深圳,2022,2,2022-02,12.75
深圳,2022,3,2022-03,16.258064516129032
